Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.405818,0.297906,0.0506054,11714,0.0704824
BL,0.406928,0.307623,0.0465694,11804,0.0713256
BL,0.405203,0.303249,0.0478112,15938,0.0992469
BL,0.386668,0.295969,0.0425334,19216,0.115306
BL,0.400422,0.286552,0.0533996,13439,0.0813112
BL,0.393435,0.286847,0.0499845,17973,0.107614
BL,0.405809,0.295249,0.0518473,16414,0.0986785
BL,0.401456,0.298178,0.0484322,14622,0.08825
BL,0.392087,0.285499,0.0499845,19438,0.116867
BL,0.402741,0.297477,0.0493636,38915,0.234114
BL_Optimizado,0.405818,0.297906,0.0506054,11714,0.0191345
BL_Optimizado,0.406928,0.307623,0.0465694,11804,0.0188827
BL_Optimizado,0.405203,0.303249,0.0478112,15938,0.0257193
BL_Optimizado,0.386668,0.295969,0.0425334,19216,0.0304268
BL_Optimizado,0.400422,0.286552,0.0533996,13439,0.0214555
BL_Optimizado,0.393435,0.286847,0.0499845,17973,0.0282318
BL_Optimizado,0.405809,0.295249,0.0518473,16414,0.0255868
BL_Optimizado,0.401456,0.298178,0.0484322,14622,0.0229696
BL_Optimizado,0.392087,0.285499,0.0499845,19438,0.0301474
BL_Optimizado,0.402741,0.297477,0.0493636,38915,0.0585687
Extra,0.381583,0.28956,0.0431543,100000,0.152144
Extra,0.396152,0.28824,0.0506054,100000,0.152351
Extra,0.386046,0.291375,0.0443962,100000,0.151357
Extra,0.390393,0.293074,0.045638,100000,0.149112
Extra,0.385156,0.286512,0.0462589,100000,0.150751
Extra,0.390741,0.29607,0.0443962,100000,0.150213
Extra,0.391326,0.289373,0.0478112,100000,0.156228
Extra,0.398516,0.300535,0.0459485,100000,0.150039
Extra,0.39092,0.28698,0.0487426,100000,0.150534
Extra,0.389489,0.302763,0.0406706,100000,0.149676
Greedy,0.479939,0.422342,0.0270102,7,0.000520711
Greedy,0.492093,0.426551,0.0307358,6,0.000449822
Greedy,0.494448,0.431554,0.0294939,9,0.0006564
Greedy,0.499903,0.43701,0.0294939,7,0.000503776
Greedy,0.49029,0.428721,0.028873,7,0.000519381
Greedy,0.487734,0.427489,0.0282521,6,0.000447513
Greedy,0.493386,0.431154,0.0291835,7,0.000528969
Greedy,0.496807,0.432589,0.0301149,6,0.000449893
Greedy,0.49643,0.432874,0.0298044,6,0.000463678
Greedy,0.487274,0.430339,0.0266998,8,0.000574315
Random,0.681956,0.431045,0.117665,100000,0.877173
Random,0.68654,0.427022,0.121701,100000,0.898021
Random,0.681283,0.435668,0.115182,100000,0.879927
Random,0.681556,0.429982,0.117976,100000,0.878741
Random,0.67664,0.435659,0.113008,100000,0.883235
Random,0.680795,0.425911,0.119528,100000,0.876722
Random,0.679276,0.419096,0.122012,100000,0.876129
Random,0.685151,0.428281,0.120459,100000,0.876281
Random,0.674169,0.418623,0.119839,100000,0.87764
Random,0.680057,0.411933,0.125737,100000,0.891412
