Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,1.06117,0.872593,0.0512048,3665,0.0248197
BL,1.10297,0.947677,0.0421687,6731,0.0353225
BL,1.0132,0.857903,0.0421687,5195,0.0273653
BL,1.03571,0.919239,0.0316265,6162,0.0325338
BL,1.0504,0.845186,0.0557229,8128,0.0416563
BL,1.02598,0.881774,0.0391566,9229,0.0482397
BL,1.10005,0.933661,0.0451807,3384,0.0194251
BL,1.13663,1.02016,0.0316265,5308,0.0284057
BL,1.0316,0.8874,0.0391566,5425,0.0286186
BL,1.03315,0.85567,0.0481928,4287,0.0225115
BL_Optimizado,1.06117,0.872593,0.0512048,3665,0.00663893
BL_Optimizado,1.10297,0.947677,0.0421687,6731,0.0117819
BL_Optimizado,1.0132,0.857903,0.0421687,5195,0.00943721
BL_Optimizado,1.03571,0.919239,0.0316265,6162,0.0108585
BL_Optimizado,1.0504,0.845186,0.0557229,8128,0.0141058
BL_Optimizado,1.02598,0.881774,0.0391566,9229,0.0157809
BL_Optimizado,1.10005,0.933661,0.0451807,3384,0.00631595
BL_Optimizado,1.13663,1.02016,0.0316265,5308,0.0095266
BL_Optimizado,1.0316,0.8874,0.0391566,5425,0.00963087
BL_Optimizado,1.03315,0.85567,0.0481928,4287,0.00786302
Extra,0.985704,0.802677,0.0496988,100000,0.173999
Extra,0.978641,0.851077,0.0346386,100000,0.172386
Extra,0.973194,0.856722,0.0316265,100000,0.173249
Extra,0.973957,0.802023,0.0466867,100000,0.175102
Extra,0.976777,0.70501,0.0737952,100000,0.174097
Extra,0.955964,0.72302,0.063253,100000,0.17581
Extra,0.973816,0.763057,0.0572289,100000,0.179541
Extra,0.979874,0.807939,0.0466867,100000,0.172758
Extra,0.979766,0.82447,0.0421687,100000,0.17191
Extra,1.01986,0.875657,0.0391566,100000,0.169576
Greedy,1.54512,1.53403,0.00301205,5,0.00018604
Greedy,1.5574,1.54631,0.00301205,5,0.000217925
Greedy,1.59785,1.58675,0.00301205,5,0.00020426
Greedy,1.53803,1.53803,0,4,0.000171877
Greedy,1.64842,1.63733,0.00301205,9,0.000333293
Greedy,1.61653,1.59435,0.0060241,6,0.000248671
Greedy,1.56889,1.5578,0.00301205,5,0.000201627
Greedy,1.53472,1.51254,0.0060241,5,0.000204189
Greedy,1.55225,1.54671,0.00150602,6,0.000232373
Greedy,1.55708,1.54599,0.00301205,8,0.000309736
Random,1.89629,1.49142,0.10994,100000,0.912263
Random,1.90374,1.62642,0.0753012,100000,0.907406
Random,1.94213,1.57607,0.0993976,100000,0.906485
Random,1.92903,1.54079,0.105422,100000,0.901893
Random,1.91683,1.55633,0.0978916,100000,0.901197
Random,1.91283,1.56896,0.0933735,100000,0.898225
Random,1.89805,1.56527,0.0903614,100000,0.900061
Random,1.9154,1.56598,0.0948795,100000,0.897926
Random,1.95259,1.61427,0.0918675,100000,0.726467
Random,1.9144,1.56499,0.0948795,100000,0.562726
