alg,fitness
BL,0.19583
BL,0.195946
BL,0.196337
BL,0.19673
BL,0.196999
BL,0.198098
BL,0.196427
BL,0.199559
BL,0.196835
BL,0.199176
BL_Optimizado,0.196874
BL_Optimizado,0.195946
BL_Optimizado,0.196337
BL_Optimizado,0.19673
BL_Optimizado,0.197
BL_Optimizado,0.198099
BL_Optimizado,0.196427
BL_Optimizado,0.199559
BL_Optimizado,0.196835
BL_Optimizado,0.199176
Extra,0.199258
Extra,0.197798
Extra,0.199743
Extra,0.202178
Extra,0.198452
Extra,0.199765
Extra,0.199292
Extra,0.197333
Extra,0.1982
Extra,0.197834
Greedy,0.267852
Greedy,0.27063
Greedy,0.271648
Greedy,0.271597
Greedy,0.269757
Greedy,0.269693
Greedy,0.270543
Greedy,0.268156
Greedy,0.269235
Greedy,0.270674
Random,0.333778
Random,0.332917
Random,0.33383
Random,0.333782
Random,0.334111
Random,0.333861
Random,0.333771
Random,0.333932
Random,0.334346
Random,0.33386
