alg,fitness
BL,2.06413
BL,2.03472
BL,2.07102
BL,1.68144
BL,2.00831
BL,1.70348
BL,1.47133
BL,2.02727
BL,1.50353
BL,1.91668
BL_Optimizado,0.131417
BL_Optimizado,0.17003
BL_Optimizado,0.170419
BL_Optimizado,0.147299
BL_Optimizado,0.171532
BL_Optimizado,0.141901
BL_Optimizado,0.125275
BL_Optimizado,0.169823
BL_Optimizado,0.129227
BL_Optimizado,0.15608
Extra,0.167272
Extra,0.168292
Extra,0.170884
Extra,0.168752
Extra,0.1739
Extra,0.171365
Extra,0.167611
Extra,0.168948
Extra,0.168315
Extra,0.168699
Greedy,0.00645167
Greedy,0.00593696
Greedy,0.011683
Greedy,0.00592068
Greedy,0.00821199
Greedy,0.00591942
Greedy,0.00880517
Greedy,0.0116547
Greedy,0.00781824
Greedy,0.00951441
Random,2.54445
Random,2.53604
Random,2.53004
Random,2.51549
Random,2.54263
Random,2.56536
Random,2.52411
Random,2.51533
Random,2.51962
Random,2.5245
