alg,fitness
BL,0.0708372
BL,0.0697524
BL,0.0934414
BL,0.113295
BL,0.0794836
BL,0.106099
BL,0.0963739
BL,0.0864333
BL,0.113881
BL,0.226609
BL_Optimizado,0.0192035
BL_Optimizado,0.0190278
BL_Optimizado,0.0254453
BL_Optimizado,0.0304729
BL_Optimizado,0.021552
BL_Optimizado,0.0283414
BL_Optimizado,0.0256183
BL_Optimizado,0.0249856
BL_Optimizado,0.0303398
BL_Optimizado,0.0588985
Greedy,0.000506211
Greedy,0.000432179
Greedy,0.000633113
Greedy,0.000488331
Greedy,0.000509075
Greedy,0.000429805
Greedy,0.000522484
Greedy,0.00043197
Greedy,0.000441678
Greedy,0.000553005
Random,0.879383
Random,0.877668
Random,0.877525
Random,0.877694
Random,0.877811
Random,0.878011
Random,0.878446
Random,0.877785
Random,0.877623
Random,0.880621
