alg,fitness
BL,0.0190967
BL,0.0295371
BL,0.0334339
BL,0.0205082
BL,0.0176658
BL,0.0219033
BL,0.0267979
BL,0.0203938
BL,0.025988
BL,0.0360555
BL_Optimizado,0.0053212
BL_Optimizado,0.00811123
BL_Optimizado,0.00938992
BL_Optimizado,0.00587482
BL_Optimizado,0.00500859
BL_Optimizado,0.00625103
BL_Optimizado,0.00752332
BL_Optimizado,0.00580126
BL_Optimizado,0.00726292
BL_Optimizado,0.0103824
Extra,0.104358
Extra,0.103089
Extra,0.104468
Extra,0.103205
Extra,0.105706
Extra,0.104152
Extra,0.108838
Extra,0.103283
Extra,0.104538
Extra,0.102437
Greedy,0.000140503
Greedy,0.000276163
Greedy,0.000163956
Greedy,0.000211914
Greedy,0.000167468
Greedy,0.000272371
Greedy,0.000299194
Greedy,0.000209176
Greedy,0.000169855
Greedy,0.000170767
Random,0.607449
Random,0.606857
Random,0.619295
Random,0.606369
Random,0.605452
Random,0.60487
Random,0.604768
Random,0.604511
Random,0.604841
Random,0.606331
