Run,Iter,Fitness
0,1,2.20090199
0,2,1.73872983
0,3,1.67369485
0,4,1.66404605
0,5,1.65130949
0,6,1.64942682
1,1,2.19415140
1,2,1.66231453
1,3,1.62078476
1,4,1.61659336
1,5,1.61207795
2,1,2.16897845
2,2,1.69331825
2,3,1.64845657
2,4,1.63231027
2,5,1.63052464
3,1,2.18552518
3,2,1.66658843
3,3,1.62584281
3,4,1.62530375
3,5,1.61610436
3,6,1.61039722
4,1,2.11148095
4,2,1.70730257
4,3,1.65332353
4,4,1.61102736
4,5,1.61017942
4,6,1.59741926
4,7,1.59346783
5,1,2.19990969
5,2,1.67917597
5,3,1.67420793
5,4,1.64146757
5,5,1.63910615
5,6,1.62819254
6,1,2.13313794
6,2,1.68794680
6,3,1.62380338
6,4,1.60878086
7,1,2.09575248
7,2,1.65087593
7,3,1.59582031
7,4,1.60940480
7,5,1.61004412
7,6,1.61018610
7,7,1.60757434
8,1,2.12103415
8,2,1.69442904
8,3,1.63046885
8,4,1.61055374
8,5,1.60630262
9,1,2.31752896
9,2,1.68993104
9,3,1.63444638
9,4,1.58667326
9,5,1.62038076
9,6,1.60179758
9,7,1.59909689
