Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,1.06116664,0.87259315,0.05120482,3665,0.01688656
BL,1.10297239,0.94767656,0.04216867,6731,0.02076828
BL,1.01319897,0.85790307,0.04216867,5195,0.01572948
BL,1.03571117,0.91923930,0.03162651,6162,0.01891852
BL,1.05039883,0.84518641,0.05572289,8128,0.02449610
BL,1.02597749,0.88177420,0.03915663,9229,0.02757297
BL,1.10004973,0.93366136,0.04518072,3384,0.01172944
BL,1.13663208,1.02016021,0.03162651,5308,0.01606718
BL,1.03160346,0.88740016,0.03915663,5425,0.01629719
BL,1.03315139,0.85567037,0.04819277,4287,0.01291036
BL_Optimizado,1.06116641,0.87259315,0.05120482,3665,0.00404603
BL_Optimizado,1.10297215,0.94767656,0.04216867,6731,0.00707635
BL_Optimizado,1.01319861,0.85790307,0.04216867,5195,0.00562161
BL_Optimizado,1.03571010,0.91923930,0.03162651,6162,0.00649956
BL_Optimizado,1.05039859,0.84518641,0.05572289,8128,0.00850300
BL_Optimizado,1.02597797,0.88177420,0.03915663,9229,0.00948704
BL_Optimizado,1.10004866,0.93366136,0.04518072,3384,0.00373761
BL_Optimizado,1.13663220,1.02016021,0.03162651,5308,0.00574370
BL_Optimizado,1.03160429,0.88740016,0.03915663,5425,0.00579207
BL_Optimizado,1.03315020,0.85567037,0.04819277,4287,0.00472954
Extra,0.98570442,0.80267721,0.04969880,100000,0.10420249
Extra,0.97864139,0.85107699,0.03463855,100000,0.10334751
Extra,0.97319382,0.85672190,0.03162651,100000,0.10438388
Extra,0.97395742,0.80202279,0.04668675,100000,0.10610418
Extra,0.97677749,0.70500974,0.07379518,100000,0.10724748
Extra,0.95596391,0.72302021,0.06325301,100000,0.11323563
Extra,0.97381568,0.76305699,0.05722892,100000,0.10663917
Extra,0.97987390,0.80793920,0.04668675,100000,0.10596817
Extra,0.97976625,0.82447039,0.04216867,100000,0.10542787
Extra,1.01985979,0.87565652,0.03915663,100000,0.10354244
Greedy,1.64942682,1.62169545,0.00753012,6,0.00015599
Greedy,1.61207795,1.60653172,0.00150602,5,0.00012258
Greedy,1.63052464,1.61943211,0.00301205,5,0.00011231
Greedy,1.61039722,1.59375839,0.00451807,6,0.00013013
Greedy,1.59346783,1.58792160,0.00150602,7,0.00014921
Greedy,1.62819254,1.62264621,0.00150602,6,0.00013034
Greedy,1.60878086,1.59214198,0.00451807,4,0.00008596
Greedy,1.60757434,1.59093556,0.00451807,7,0.00015599
Greedy,1.60630262,1.58966374,0.00451807,5,0.00010881
Greedy,1.59909689,1.59909688,0.00000000,7,0.00014739
Random,2.01455688,1.60413226,0.11144578,100000,0.53886062
Random,2.02672076,1.60520337,0.11445783,100000,0.53469080
Random,1.99404013,1.61134677,0.10391566,100000,0.54123282
Random,2.01513743,1.57143499,0.12048193,100000,0.54352642
Random,2.00706244,1.60218408,0.10993976,100000,0.54617258
Random,1.96135342,1.60084518,0.09789157,100000,0.54419492
Random,1.98924601,1.57327498,0.11295181,100000,0.54266201
Random,2.01391292,1.62567321,0.10542169,100000,0.56597136
Random,2.00805235,1.63645163,0.10090361,100000,0.54971876
Random,2.01957464,1.57587219,0.12048193,100000,0.54037125
