Run,Iter,Fitness
0,1,0.74129534
0,4,0.72561365
0,34,0.72271311
0,316,0.70619339
0,459,0.70078999
1,1,0.74038482
1,4,0.74024218
1,6,0.73134518
1,24,0.72866625
1,48,0.71403509
1,2759,0.71346688
1,3615,0.70912266
1,9694,0.69980925
2,1,0.73424321
2,2,0.71185428
2,681,0.71100718
2,4345,0.71098429
2,7769,0.70275748
3,1,0.77525532
3,2,0.75190085
3,3,0.74470621
3,4,0.71785444
3,51,0.71104062
3,5680,0.70921969
3,12522,0.70738941
3,64494,0.69804114
4,1,0.72940457
4,7,0.71624899
4,1171,0.71580094
4,1237,0.71513617
4,2345,0.71187407
4,8550,0.71101481
4,10888,0.70753169
4,14235,0.70563877
4,22252,0.70524138
4,55261,0.70093083
5,1,0.74598646
5,3,0.74455756
5,4,0.74072981
5,7,0.72406060
5,41,0.72014475
5,193,0.71370173
5,979,0.70010912
5,72929,0.69608003
6,1,0.72120029
6,157,0.71677971
6,943,0.70315063
6,5881,0.69634372
7,1,0.74628043
7,3,0.72976202
7,7,0.72900462
7,26,0.71153378
7,3378,0.70989895
7,11091,0.70918667
7,12771,0.70552242
7,25553,0.70032448
8,1,0.74154341
8,2,0.73442459
8,4,0.71098334
8,2804,0.69788176
9,1,0.75193697
9,3,0.72690344
9,62,0.72591627
9,132,0.71777540
9,372,0.71668869
9,628,0.70971316
9,3101,0.70898825
9,4990,0.69566315
