Run,Iter,Fitness
0,1,0.34775075
0,2,0.28636846
0,3,0.27829558
0,4,0.27872881
0,5,0.27488330
0,6,0.27450451
0,7,0.27413887
0,8,0.27291688
0,9,0.27135801
0,10,0.27124521
1,1,0.34798393
1,2,0.28968889
1,3,0.27957064
1,4,0.27650440
1,5,0.27447554
1,6,0.27336183
1,7,0.27272081
1,8,0.27042133
1,9,0.26957610
1,10,0.26912636
2,1,0.35062745
2,2,0.29052368
2,3,0.27823851
2,4,0.27394691
2,5,0.27085534
2,6,0.27140552
2,7,0.26940316
2,8,0.27020100
2,9,0.26992372
2,10,0.26988527
2,11,0.26972264
3,1,0.34869665
3,2,0.28782764
3,3,0.28161716
3,4,0.27900541
3,5,0.27723897
3,6,0.27722463
3,7,0.27406329
3,8,0.27423728
3,9,0.27320412
3,10,0.27326989
3,11,0.27269515
3,12,0.27239978
3,13,0.27252343
3,14,0.27179253
3,15,0.27183062
3,16,0.27132833
3,17,0.27108929
3,18,0.27099016
3,19,0.27128771
3,20,0.27130613
4,1,0.34454587
4,2,0.29255036
4,3,0.28170225
4,4,0.27780625
4,5,0.27738419
4,6,0.27556860
4,7,0.27448067
4,8,0.27362171
4,9,0.27369678
4,10,0.27366486
4,11,0.27348578
5,1,0.35088649
5,2,0.28901464
5,3,0.28348437
5,4,0.27825394
5,5,0.27628419
5,6,0.27537578
5,7,0.27427971
5,8,0.27364880
5,9,0.27246356
5,10,0.27289253
5,11,0.27248982
5,12,0.27253652
5,13,0.27250046
6,1,0.34790909
6,2,0.29057333
6,3,0.27892333
6,4,0.27482224
6,5,0.27527234
6,6,0.27383137
6,7,0.27303541
6,8,0.27304906
6,9,0.27321392
6,10,0.27288786
7,1,0.34473991
7,2,0.28968337
7,3,0.28086105
7,4,0.27731484
7,5,0.27570379
7,6,0.27452260
7,7,0.27349344
7,8,0.27490464
7,9,0.27388427
7,10,0.27343768
7,11,0.27250528
7,12,0.27290285
7,13,0.27159172
7,14,0.27176920
7,15,0.27128685
7,16,0.27139387
7,17,0.27154139
7,18,0.27146044
8,1,0.34798253
8,2,0.29166853
8,3,0.28272989
8,4,0.28108269
8,5,0.27797908
8,6,0.27646700
8,7,0.27475098
8,8,0.27446210
8,9,0.27497053
8,10,0.27471182
9,1,0.35274094
9,2,0.28771043
9,3,0.27937493
9,4,0.27719340
9,5,0.27484587
9,6,0.27341628
9,7,0.27278498
9,8,0.27137855
9,9,0.27104026
9,10,0.27105743
9,11,0.27083671
9,12,0.27080402
9,13,0.27078205
