Run,Iter,Fitness
0,1,2.15458727
0,2,2.14224958
0,4,2.13876963
0,5,2.12217641
0,6,2.10558224
0,8,2.10000873
0,9,2.08657956
0,11,2.08526993
0,17,2.08370733
0,18,2.07405686
0,24,2.07002330
0,26,2.06320572
0,29,2.06020164
0,30,2.05609512
0,31,2.05180812
0,32,2.03551030
0,34,2.02338004
0,37,2.00668955
0,38,2.00522947
0,42,1.99589849
0,44,1.99347484
0,45,1.99017763
0,55,1.97162199
0,60,1.96956336
0,65,1.96918130
0,67,1.96522069
0,85,1.95991659
0,86,1.95958042
0,89,1.95902348
0,90,1.95677042
0,91,1.95531821
0,99,1.95180178
0,116,1.95155180
0,119,1.95037413
0,120,1.94231045
0,121,1.93983233
0,127,1.93545592
0,135,1.92966211
0,138,1.92049754
0,141,1.91829598
0,143,1.91473150
0,151,1.91026902
0,154,1.90880644
0,155,1.89796197
0,162,1.89680684
0,163,1.88792801
0,164,1.88044739
0,168,1.88009000
0,170,1.87352312
0,171,1.87107205
0,175,1.86324549
0,180,1.86282587
0,181,1.85781753
0,182,1.84341908
0,187,1.83749473
0,200,1.83315027
0,201,1.82515824
0,214,1.81446183
0,221,1.81338716
0,230,1.81060755
0,234,1.80159628
0,237,1.78361320
0,238,1.74557614
0,247,1.73907483
0,254,1.71737862
0,257,1.71010232
0,264,1.70243299
0,265,1.69900608
0,279,1.69813812
0,280,1.69370770
0,283,1.69225478
0,285,1.68159282
0,294,1.67616892
0,302,1.67333150
0,331,1.67260921
0,335,1.65289426
0,336,1.65008807
0,342,1.64672005
0,354,1.64385438
0,355,1.64204276
0,356,1.63678980
0,383,1.63404453
0,391,1.62963915
0,393,1.62573361
0,394,1.62496805
0,407,1.62442899
0,408,1.62286782
0,410,1.61757874
0,411,1.60744846
0,421,1.59482050
0,426,1.58929253
0,435,1.57576215
0,437,1.57074809
0,471,1.56043696
0,533,1.55814266
0,553,1.55366528
0,557,1.54630423
0,558,1.52937710
0,561,1.52718413
0,565,1.52277374
0,580,1.52163994
0,590,1.51936829
0,593,1.50949192
0,600,1.50028777
0,608,1.48998058
