Run,Iter,Fitness
0,1,0.73230278
0,2,0.52987725
0,3,0.50289428
0,4,0.49156213
0,5,0.49244931
0,6,0.48795193
0,7,0.48619559
0,8,0.48133808
0,9,0.48098674
0,10,0.48086995
1,1,0.72679955
1,2,0.54273319
1,3,0.52248055
1,4,0.51166672
1,5,0.50616860
1,6,0.50331682
1,7,0.49779451
1,8,0.49637038
1,9,0.49019980
1,10,0.48945835
1,11,0.48750436
2,1,0.75152612
2,2,0.53867859
2,3,0.51881045
2,4,0.51104093
2,5,0.50824219
2,6,0.50541937
2,7,0.50523436
2,8,0.50397545
2,9,0.50000662
2,10,0.49598292
2,11,0.49144676
2,12,0.49039224
2,13,0.48757946
2,14,0.48537642
2,15,0.48593327
2,16,0.48548916
2,17,0.48695737
3,1,0.75570786
3,2,0.55592513
3,3,0.51603121
3,4,0.49825573
3,5,0.49207756
3,6,0.49137124
3,7,0.49087456
4,1,0.75012022
4,2,0.55099422
4,3,0.51333690
4,4,0.50629693
4,5,0.50681812
4,6,0.50519156
4,7,0.50259942
4,8,0.50002313
4,9,0.49913743
4,10,0.49823853
5,1,0.72647023
5,2,0.53693455
5,3,0.49975851
5,4,0.49633479
5,5,0.49161315
5,6,0.48887977
5,7,0.48531288
5,8,0.48431107
5,9,0.48198661
5,10,0.48126748
5,11,0.48057082
6,1,0.72137803
6,2,0.54227549
6,3,0.50911522
6,4,0.50195843
6,5,0.49869752
6,6,0.49613446
6,7,0.49157917
6,8,0.49037182
6,9,0.48861536
7,1,0.74521583
7,2,0.53969991
7,3,0.51092494
7,4,0.50015771
7,5,0.49413550
7,6,0.48917043
7,7,0.48200300
7,8,0.48217458
7,9,0.48235562
7,10,0.48116004
7,11,0.48240599
7,12,0.48386526
7,13,0.48312968
8,1,0.75970376
8,2,0.55930847
8,3,0.51702154
8,4,0.50172573
8,5,0.49597403
8,6,0.49602902
9,1,0.75067711
9,2,0.55110896
9,3,0.51769960
9,4,0.50989014
9,5,0.50690395
9,6,0.50109684
9,7,0.49807638
9,8,0.49628663
9,9,0.49577454
