Run,Iter,Fitness
0,1,0.32719427
0,2,0.32685178
0,12,0.32681541
0,13,0.32673111
0,18,0.32625280
0,21,0.32605679
0,22,0.32587886
0,24,0.32526791
0,26,0.32511733
0,28,0.32488762
0,32,0.32458220
0,33,0.32446461
0,38,0.32412600
0,41,0.32393716
0,44,0.32389201
0,46,0.32383428
0,56,0.32374888
0,59,0.32355665
0,64,0.32321289
0,65,0.32312404
0,66,0.32276721
0,71,0.32248178
0,72,0.32238249
0,74,0.32188488
0,76,0.32157060
0,77,0.32134125
0,83,0.32127223
0,94,0.32120555
0,97,0.32089837
0,99,0.32061781
0,101,0.32054803
0,102,0.32039979
0,128,0.32009303
0,132,0.31935049
0,133,0.31911444
0,135,0.31901748
0,140,0.31859227
0,146,0.31845867
0,150,0.31823012
0,156,0.31809206
0,163,0.31777580
0,165,0.31725477
0,166,0.31685707
0,167,0.31684561
0,171,0.31656546
0,172,0.31632303
0,184,0.31599111
0,198,0.31573421
0,201,0.31531265
0,204,0.31527753
0,206,0.31497022
0,208,0.31471083
0,211,0.31448557
0,223,0.31444635
0,224,0.31433357
0,229,0.31411469
0,233,0.31388293
0,239,0.31329324
0,242,0.31314518
0,253,0.31312761
0,256,0.31302531
0,258,0.31301209
0,259,0.31295276
0,264,0.31283021
0,272,0.31262792
0,276,0.31249340
0,277,0.31231261
0,278,0.31224465
0,291,0.31222703
0,295,0.31218984
0,297,0.31191016
0,298,0.31143383
0,300,0.31118603
0,302,0.31091224
0,304,0.31080344
0,305,0.31074580
0,316,0.31063732
0,322,0.31055891
0,326,0.31045273
0,329,0.31022261
0,332,0.31015234
0,337,0.31004442
0,338,0.30988564
0,339,0.30961988
0,341,0.30925286
0,354,0.30914144
0,356,0.30904739
0,359,0.30893110
0,360,0.30862695
0,361,0.30857807
0,367,0.30816968
0,369,0.30801483
0,371,0.30800422
0,377,0.30760900
0,380,0.30754541
0,381,0.30752726
0,383,0.30752643
0,384,0.30733120
0,388,0.30692312
0,389,0.30686890
0,390,0.30680170
0,394,0.30661007
0,395,0.30634369
0,399,0.30616156
0,402,0.30605937
0,403,0.30600289
0,405,0.30575431
0,406,0.30555078
0,407,0.30535376
0,408,0.30501733
0,416,0.30498891
0,420,0.30491590
0,426,0.30462818
0,437,0.30448127
0,440,0.30442254
0,453,0.30418185
0,459,0.30407356
0,460,0.30406773
0,462,0.30359145
0,470,0.30347652
0,471,0.30340694
0,475,0.30331813
0,478,0.30322048
0,488,0.30244214
0,490,0.30196895
0,498,0.30183762
0,502,0.30165521
0,504,0.30152326
0,505,0.30150037
0,506,0.30094589
0,507,0.30076274
0,512,0.30064494
0,515,0.30019723
0,521,0.29989301
0,525,0.29973966
0,526,0.29953476
0,528,0.29946103
0,536,0.29936271
0,538,0.29912818
0,540,0.29909070
0,553,0.29900868
0,558,0.29884007
0,561,0.29840093
0,564,0.29834196
0,573,0.29821319
0,575,0.29812135
0,585,0.29763816
0,586,0.29738356
0,587,0.29697705
0,596,0.29617299
0,597,0.29541312
0,601,0.29540045
0,607,0.29519068
0,609,0.29517856
0,612,0.29493718
0,617,0.29471715
0,619,0.29463924
0,622,0.29440525
0,625,0.29414414
0,627,0.29406163
0,629,0.29404505
0,632,0.29399997
0,637,0.29375875
0,639,0.29370864
0,648,0.29360025
0,656,0.29285169
0,659,0.29262260
0,671,0.29253516
0,688,0.29253334
0,700,0.29229833
0,704,0.29157830
0,711,0.29143238
0,720,0.29132066
0,725,0.29106077
0,726,0.29080295
0,737,0.29060423
0,740,0.29027006
0,744,0.29023900
0,745,0.29019791
0,750,0.29002880
0,755,0.28992184
0,763,0.28979661
0,769,0.28928137
0,779,0.28888558
0,784,0.28887701
0,785,0.28860749
0,799,0.28846187
0,808,0.28819862
0,813,0.28807565
0,814,0.28802033
0,817,0.28800033
0,827,0.28794504
0,838,0.28710101
0,840,0.28694667
0,846,0.28642752
0,848,0.28642746
0,849,0.28599108
0,857,0.28596709
0,860,0.28593974
0,871,0.28590117
0,885,0.28588361
0,898,0.28582709
0,933,0.28574436
0,948,0.28562689
0,950,0.28560952
0,956,0.28559304
0,978,0.28552255
0,983,0.28546183
0,986,0.28544801
0,998,0.28540041
0,1002,0.28520490
0,1006,0.28484705
0,1038,0.28479342
0,1043,0.28470174
0,1054,0.28459578
0,1084,0.28452830
0,1092,0.28427866
0,1093,0.28392378
0,1095,0.28362350
0,1098,0.28324514
0,1112,0.28312039
0,1119,0.28289132
0,1124,0.28282594
0,1127,0.28278447
0,1137,0.28275880
0,1142,0.28216659
0,1157,0.28213018
0,1163,0.28192229
0,1164,0.28177066
0,1183,0.28139934
0,1188,0.28112412
0,1214,0.28065677
0,1218,0.28061687
0,1220,0.28053701
0,1240,0.28047128
0,1243,0.28028372
0,1246,0.28016623
0,1249,0.28004864
0,1254,0.28001153
0,1256,0.27990492
0,1273,0.27976353
0,1274,0.27948271
0,1278,0.27905878
0,1316,0.27869116
0,1321,0.27861686
0,1332,0.27857622
0,1338,0.27851764
0,1345,0.27724131
0,1353,0.27716738
0,1360,0.27712643
0,1365,0.27709225
0,1372,0.27659271
0,1381,0.27609675
