Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.19582957,0.14212576,0.03558170,100000,1.97420356
BL,0.19594602,0.14319044,0.03495345,100000,1.94723980
BL,0.19633694,0.14280553,0.03546747,100000,1.97625338
BL,0.19673026,0.14225063,0.03609572,84172,1.69783277
BL,0.19699927,0.14010599,0.03769490,100000,1.99935777
BL,0.19809830,0.14327386,0.03632418,82474,1.60750612
BL,0.19642657,0.14367098,0.03495345,72139,1.40206662
BL,0.19955899,0.14697581,0.03483923,100000,1.94281084
BL,0.19683501,0.13976933,0.03780913,73983,1.42540362
BL,0.19917554,0.14340289,0.03695242,91674,1.81771319
BL_Optimizado,0.19687353,0.14420423,0.03489634,74624,0.13408762
BL_Optimizado,0.19594604,0.14319044,0.03495345,100000,0.17387158
BL_Optimizado,0.19633730,0.14280553,0.03546747,100000,0.17930805
BL_Optimizado,0.19673026,0.14225063,0.03609572,84172,0.15448838
BL_Optimizado,0.19699983,0.14010599,0.03769490,100000,0.18084774
BL_Optimizado,0.19809857,0.14327386,0.03632418,82474,0.15467018
BL_Optimizado,0.19642697,0.14367098,0.03495345,72139,0.13371750
BL_Optimizado,0.19955926,0.14697581,0.03483923,100000,0.17338492
BL_Optimizado,0.19683537,0.13976933,0.03780913,73983,0.13616861
BL_Optimizado,0.19917552,0.14340289,0.03695242,91674,0.16877532
Extra,0.19925830,0.14555449,0.03558170,100000,0.17622018
Extra,0.19779797,0.13987028,0.03838026,100000,0.17561306
Extra,0.19974256,0.14293548,0.03763779,100000,0.17643441
Extra,0.20217785,0.14683620,0.03666686,100000,0.17382741
Extra,0.19845194,0.14267929,0.03695242,100000,0.17940634
Extra,0.19976485,0.14563002,0.03586727,100000,0.17784848
Extra,0.19929211,0.14576071,0.03546747,100000,0.17389225
Extra,0.19733326,0.14043998,0.03769490,100000,0.17617112
Extra,0.19820035,0.14285869,0.03666686,100000,0.17463995
Extra,0.19783382,0.14154395,0.03729511,100000,0.17631464
Greedy,0.27124521,0.24978094,0.01422126,10,0.00609669
Greedy,0.26912636,0.24921372,0.01319321,10,0.00588868
Greedy,0.26972264,0.24912038,0.01365012,11,0.00676725
Greedy,0.27130613,0.25199688,0.01279342,20,0.01184150
Greedy,0.27348578,0.25374553,0.01307899,11,0.00669479
Greedy,0.27250046,0.25172578,0.01376435,13,0.00766993
Greedy,0.27288786,0.25219938,0.01370724,10,0.00613651
Greedy,0.27146044,0.25292703,0.01227940,18,0.01062167
Greedy,0.27471182,0.25393716,0.01376435,10,0.00622427
Greedy,0.27078205,0.25130040,0.01290765,13,0.00771332
Random,0.33736318,0.24642014,0.06025473,100000,2.46791453
Random,0.33811954,0.24890052,0.05911246,100000,2.46238524
Random,0.33849311,0.24505019,0.06191102,100000,2.47782513
Random,0.33833164,0.24799201,0.05985493,100000,2.46646709
Random,0.33907729,0.24994448,0.05905534,100000,2.45987386
Random,0.33670256,0.24825935,0.05859844,100000,2.45996180
Random,0.33717394,0.24804115,0.05905534,100000,2.45726313
Random,0.33662745,0.24723605,0.05922668,100000,2.47139125
Random,0.33757928,0.24870508,0.05888400,100000,2.46580178
Random,0.33728173,0.24987296,0.05791307,100000,2.49165592
