alg,fitness
BL,0.19582957
BL,0.19594602
BL,0.19633694
BL,0.19673026
BL,0.19699927
BL,0.19809830
BL,0.19642657
BL,0.19955899
BL,0.19683501
BL,0.19917554
BL_Optimizado,0.19687353
BL_Optimizado,0.19594604
BL_Optimizado,0.19633730
BL_Optimizado,0.19673026
BL_Optimizado,0.19699983
BL_Optimizado,0.19809857
BL_Optimizado,0.19642697
BL_Optimizado,0.19955926
BL_Optimizado,0.19683537
BL_Optimizado,0.19917552
Extra,0.19925830
Extra,0.19779797
Extra,0.19974256
Extra,0.20217785
Extra,0.19845194
Extra,0.19976485
Extra,0.19929211
Extra,0.19733326
Extra,0.19820035
Extra,0.19783382
Greedy,0.27124521
Greedy,0.26912636
Greedy,0.26972264
Greedy,0.27130613
Greedy,0.27348578
Greedy,0.27250046
Greedy,0.27288786
Greedy,0.27146044
Greedy,0.27471182
Greedy,0.27078205
Random,0.33736318
Random,0.33811954
Random,0.33849311
Random,0.33833164
Random,0.33907729
Random,0.33670256
Random,0.33717394
Random,0.33662745
Random,0.33757928
Random,0.33728173
