Algoritmo,Fitness,Distancia,Incumplimientos,Evaluaciones,Tiempo
BL,0.40581805,0.29790625,0.05060540,11714,0.07362194
BL,0.40692833,0.30762299,0.04656939,11804,0.07428250
BL,0.40520266,0.30324917,0.04781124,15938,0.10082279
BL,0.38666794,0.29596907,0.04253337,19216,0.12071211
BL,0.40042239,0.28655226,0.05339957,13439,0.08618317
BL,0.39343512,0.28684737,0.04998448,17973,0.11189687
BL,0.40580851,0.29524857,0.05184725,16414,0.10118148
BL,0.40145561,0.29817807,0.04843216,14622,0.09027064
BL,0.39208722,0.28549949,0.04998448,19438,0.11890051
BL,0.40274113,0.29747747,0.04936355,38915,0.24146694
BL_Optimizado,0.40581799,0.29790625,0.05060540,11714,0.02034118
BL_Optimizado,0.40692842,0.30762299,0.04656939,11804,0.02208380
BL_Optimizado,0.40520263,0.30324917,0.04781124,15938,0.02718951
BL_Optimizado,0.38666806,0.29596907,0.04253337,19216,0.03287361
BL_Optimizado,0.40042233,0.28655226,0.05339957,13439,0.02397407
BL_Optimizado,0.39343509,0.28684737,0.04998448,17973,0.03141428
BL_Optimizado,0.40580860,0.29524857,0.05184725,16414,0.02886379
BL_Optimizado,0.40145627,0.29817807,0.04843216,14622,0.02593925
BL_Optimizado,0.39208704,0.28549949,0.04998448,19438,0.03458730
BL_Optimizado,0.40274137,0.29747747,0.04936355,38915,0.06641896
Extra,0.38158330,0.28956035,0.04315430,100000,0.16537465
Extra,0.39615169,0.28823991,0.05060540,100000,0.16833699
Extra,0.38604617,0.29137508,0.04439615,100000,0.16494543
Extra,0.39039341,0.29307418,0.04563800,100000,0.16619935
Extra,0.38515562,0.28651232,0.04625893,100000,0.16340703
Extra,0.39074111,0.29607001,0.04439615,100000,0.16216482
Extra,0.39132616,0.28937270,0.04781124,100000,0.16169908
Extra,0.39851588,0.30053459,0.04594846,100000,0.16136975
Extra,0.39091969,0.28698010,0.04874263,100000,0.16142024
Extra,0.38948923,0.30276256,0.04067060,100000,0.16215357
Greedy,0.48086995,0.42393488,0.02669978,10,0.00071561
Greedy,0.48750436,0.43123134,0.02638932,11,0.00077543
Greedy,0.48695737,0.43399453,0.02483701,17,0.00142319
Greedy,0.49087456,0.43526357,0.02607886,7,0.00055392
Greedy,0.49823853,0.43600720,0.02918348,10,0.00069689
Greedy,0.48057082,0.42429781,0.02638932,11,0.00075964
Greedy,0.48861536,0.42704606,0.02887302,9,0.00064364
Greedy,0.48312968,0.42884275,0.02545793,13,0.00090093
Greedy,0.49602902,0.43313564,0.02949395,6,0.00042143
Greedy,0.49577454,0.43685338,0.02763117,9,0.00066747
Random,0.70078999,0.43465170,0.12480596,100000,0.90637605
Random,0.69980925,0.43102282,0.12604781,100000,0.90912900
Random,0.70275748,0.42999878,0.12791059,100000,0.90049098
Random,0.69804114,0.42594448,0.12760012,100000,0.90248069
Random,0.70093083,0.43413047,0.12511642,100000,0.90245666
Random,0.69608003,0.43325189,0.12325365,100000,0.89602336
Random,0.69634372,0.42424710,0.12760012,100000,0.93329376
Random,0.70032448,0.43352414,0.12511642,100000,0.90192934
Random,0.69788176,0.41982681,0.13039429,100000,0.89925309
Random,0.69566315,0.43482110,0.12232226,100000,0.91787413
