alg,fitness
BL,0.46962035
BL,0.47018838
BL,0.46611786
BL,0.47176516
BL,0.47114283
BL,0.46419579
BL,0.46882442
BL,0.46639234
BL,0.46710816
BL,0.46103209
BL_Optimizado,0.46962053
BL_Optimizado,0.47018826
BL_Optimizado,0.46611759
BL_Optimizado,0.47176507
BL_Optimizado,0.47114274
BL_Optimizado,0.46419549
BL_Optimizado,0.46882421
BL_Optimizado,0.46639258
BL_Optimizado,0.46710807
BL_Optimizado,0.46103215
Extra,0.46377075
Extra,0.45597008
Extra,0.46558735
Extra,0.45797211
Extra,0.45870209
Extra,0.45735037
Extra,0.45686191
Extra,0.45687237
Extra,0.46029496
Extra,0.45970455
Greedy,0.56720698
Greedy,0.56374532
Greedy,0.57697678
Greedy,0.56556404
Greedy,0.56732404
Greedy,0.55911964
Greedy,0.56752104
Greedy,0.56149054
Greedy,0.56373304
Greedy,0.56562585
Random,0.70824492
Random,0.70793802
Random,0.70566648
Random,0.70975393
Random,0.71300977
Random,0.71115637
Random,0.71196425
Random,0.70962328
Random,0.70994449
Random,0.71118641
